Material,SMILES,Type,PL
BTD1,CC1(C)C2=CC(C3=C(N=S=N4)C4=C(C5=CC=C(C6=CC=CC=C6C7(C)C)C7=C5)C=C3)=CC=C2C8=CC=CC=C81,BTD,533
BTD2,CC1(C)C2=CC(C3=C(N=S=N4)C4=C(C5=CC=C(C6=CC=C(C7=CC8=C(C=C7)N(C9=CC=CC=C9)C%10=C8C=CC=C%10)C=C6C%11(C)C)C%11=C5)C=C3)=CC=C2C%12=CC=C(C%13=CC%14=C(C=C%13)N(C%15=CC=CC=C%15)C%16=C%14C=CC=C%16)C=C%121,BTD,540
BTD3,CC1(C)C2=C(C=CC(C3=CC(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=CC=C3)=C2)C(C1=C7)=CC=C7C8=CC=C(C9=CC=C(C(C=CC(C%10=CC=CC(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C%10)=C%14)=C%14C%15(C)C)C%15=C9)C%16=NSN=C%168,BTD,538
BTD4,CC1(C)C2=CC(C3=C(N=S=N4)C4=C(C5=CC=C(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6C9(C)C)C9=C5)C=C3)=CC=C2C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%101,BTD,584
BTD5,CC1(C)C2=CC(C3=C(N=S=N4)C4=C(C5=CC=C(C6=CC=C(C7=C(N8C9=CC=CC=C9C%10=C8C=CC=C%10)C=CC=C7)C=C6C%11(C)C)C%11=C5)C=C3)=CC=C2C%12=CC=C(C%13=C(N%14C%15=CC=CC=C%15C%16=C%14C=CC=C%16)C=CC=C%13)C=C%121,BTD,540
BTD6,C12=C(C3=CC(OC4=C5C=CC=C4)=C5C=C3)C=CC(C6=CC7=C(C(C=CC=C8)=C8O7)C=C6)=C1N=S=N2,BTD,517
BTD7,C12=C(C3=CC4=C(OC5=C4C=CC=C5)C=C3)C=CC(C6=CC(C(C=CC=C7)=C7O8)=C8C=C6)=C1N=S=N2,BTD,513
BTD8,CC(C=C1)=CC=C1N(C2=C(N=S=N3)C3=C(N(C4=CC=C(C)C=C4)C5=CC=C(C)C=C5)C=C2)C6=CC=C(C)C=C6,BTD,700
BTD9,CC1(C)C2=CC(C3=C(N=S=N4)C4=C(C5=CC=C(C6=CC=C(N(C7=CC=C(C(C)(C)C)C=C7)C8=CC=C(C(C)(C)C)C=C8)C=C6C9(C)C)C9=C5)C=C3)=CC=C2C%10=CC=C(N(C%11=CC=C(C(C)(C)C)C=C%11)C%12=CC=C(C(C)(C)C)C=C%12)C=C%101,BTD,587
BTD10,C12=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C=CC(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=C1N=S=N2,BTD,599
BTD11,CC1(C)C2=CC(C3=C(N=S=N4)C4=C(C5=CC=C(C6=CC=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C6C%10(C)C)C%10=C5)C=C3)=CC=C2C%11=CC=C(C%12=CC=C(N(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C%12)C=C%111,BTD,547
BTD12,CC1(C)C2=C(C=CC=C2)C(C1=C3)=CC=C3C4=C(N=S=N5)C5=C(C6=CC7=C(C=C6)N(C8=CC=CC=C8)C9=C7C=CC=C9)C=C4,BTD,548
BTD13,C12=C(C3=CC4=C(C=C3)N(C5=CC=CC=C5)C6=C4C=CC=C6)C=CC(C7=CC8=C(C=C7)N(C9=CC=CC=C9)C%10=C8C=CC=C%10)=C1N=S=N2,BTD,560
BTD14,C12=C(C3=CC=C(N(C4=CC=CC=C45)C6=C5C=CC=C6)C=C3)C=CC(C7=CC=C(N(C8=CC=CC=C89)C%10=C9C=CC=C%10)C=C7)=C1N=S=N2,BTD,536
BTD15,CC1(C)C2=CC(C3=C(N=S=N4)C4=C(C5=CC=C(C6=CC=C(N7C8=CC=CC=C8C9=C7C=CC=C9)C=C6C%10(C)C)C%10=C5)C=C3)=CC=C2C%11=CC=C(N%12C%13=CC=CC=C%13C%14=C%12C=CC=C%14)C=C%111,BTD,540
BTD16,CC1(C)C2=C(C=CC(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C2)C(C1=C6)=CC=C6C7=CC=C(C8=CC=C(C(C=CC(C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C9)=C%12)=C%12C%13(C)C)C%13=C8)C%14=NSN=C%147,BTD,542
BTD17,C12=NSN=C1C(C3=CC=C(C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)S3)=CC=C2C7=CC=C(C(C=C8)=CC=C8N(C9=CC=CC=C9)C%10=CC=CC=C%10)S7,BTD,641
BTD18,C12=NSN=C1C(C3=CC=C(C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)S3)=CC=C2C7=CC=C(C(C=C8)=CC=C8N(C9=CC=CC=C9)C%10=CC=CC=C%10)S7,BTD,670
BTD19,CC1(C)C2=C(C=CC(C3=CC=C(C4=CC=C(C(C=CC=C5)=C5C6(C)C)C6=C4)C7=NSN=C73)=C2)C(C1=C8)=CC=C8C9=CC=C(C%10=CC=C(C(C=CC=C%11)=C%11C%12(C)C)C%12=C%10)C%13=NSN=C%139,BTD,550
BTD20,CC1(C)C2=C(C=CC(C3=CC=C(C4=CC=C(C(C=CC(C5=CC=C(C6=NSN=C56)C(C=C78)=CC=C8C9=C(C7(C)C)C=CC=C9)=C%10)=C%10C%11(C)C)C%11=C4)C%12=NSN=C%123)=C2)C(C1=C%13)=CC=C%13C%14=CC=C(C%15=CC=C(C(C=CC=C%16)=C%16C%17(C)C)C%17=C%15)C%18=NSN=C%18%14,BTD,550
BTD21,C12=NSN=C1C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,624
BTD22,C12=NSN=C1C(C3=CC=CC4=C3SC5=C4C=CC=C5)=CC=C2C6=CC=CC7=C6SC8=C7C=CC=C8,BTD,501
BTD23,C12=NSN=C1C(C3=CC=C(N(C4=CC=CC=C45)C6=C5C=CC=C6)C=C3)=CC=C2C7=CC=C(N(C8=CC=CC=C89)C%10=C9C=CC=C%10)C=C7,BTD,542
