Material,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
BTD1,4.814638086722547,4.814638086722547,0.031631751581263634,-0.0316317515812643,0.21690606742399932,16.205128205128204,520.7010000000002,492.47700000000043,520.197319896,188,0,0.11275076390715125,-0.17225380628225498,0.17225380628225498,0.11275076390715125,0.4358974358974359,0.8205128205128205,1.2820512820512822,32.122374622138395,9.807651447119671,2.3655820142269235,-2.2236969304715055,2.5345607830114325,-2.1449526650303037,7.576233689899694,0.6602206630976116,3.599093508139937,1.2453278912575734,1815.8167457690379,26.517932611199157,22.5402797884978,23.356776369425525,18.85333985246772,13.603813851497453,14.334110594837675,11.984014548079852,12.512462235935505,9.204429058506172,9.732876746361827,7.076063880742239,7.649821125240946,-4.079999999999998,1879770030.0969427,22.86353475904668,7.739002003887859,3.0231779322089833,232.82735608676234,0.0,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,112.62408775722508,67.76724905389318,21.95688392218755,11.35457963349011,0.0,22.729352182857234,0.0,0.0,8.725398582164342,38.52492973755606,0.0,119.3156790621738,0.0,44.507611933575966,0.0,11.374772549367124,0.0,0.0,0.0,22.18456057228367,0.0,49.948754765550476,105.78727167755014,0.0,44.507611933575966,0.0,24.72,0.0,0.0,0.0,10.82998093879356,0.0,22.501675532761116,66.98909455046007,0.0,0.0,124.7568218941483,8.725398582164342,9.629276173445094,1.3006130433119067,0.0,0.0,17.50672387370516,0.0,35.9040283227983,0.0,9.326025253406206,0.0,0.16666666666666666,39,0,2,2,1,3,0,5,0,5,0,0,2,0,3,1,2,0,0,0,0,0,4.536947213236461,8,10.359599999999991,163.98299999999955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD2,5.006910232228353,5.006910232228353,0.21141079637768412,-0.21141079637768545,0.1591098161453602,14.233766233766234,1003.2869999999998,952.8869999999993,1002.3756186,364,0,0.11275076390715127,-0.3092477477921412,0.3092477477921412,0.11275076390715127,0.2857142857142857,0.5974025974025974,1.0129870129870129,32.12237710849709,9.800052239253327,2.379527947115348,-2.2308626543913794,2.551901446685759,-2.1483610930297243,7.57628048993349,0.6604389909049962,4.432667396994333,0.710076772786795,4475.780553863694,51.311886104337155,43.136412901669445,43.95290948259717,37.684972328411625,26.71895732989356,27.449254073233774,22.25364624933539,22.782093937191043,17.430049350289618,17.958497038145282,13.517055298438025,14.090812542936737,-9.160000000000002,1.5943508163742845e+18,44.16503116664076,16.174997779507805,6.381839804166462,450.62065485317817,9.13419929558271,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,173.2877584418411,162.81745984222047,54.87655332941385,33.42138250395515,0.0,66.34105191118145,0.0,9.13419929558271,8.725398582164342,38.52492973755606,0.0,252.7757545683291,0.0,78.13619044973107,0.0,11.374772549367124,0.0,0.0,9.13419929558271,22.18456057228367,0.0,49.948754765550476,239.24734718370544,0.0,121.74789017805527,0.0,34.58,0.0,0.0,0.0,10.82998093879356,0.0,33.62857851615511,133.10246981154538,0.0,0.0,267.3510966958863,8.725398582164342,14.779265858672627,1.2992337287618527,0.0,5.050120990077296,28.73742171872279,0.0,85.61349401205797,0.0,9.520463691707487,0.0,0.08333333333333333,77,0,4,2,1,3,0,11,2,13,0,0,4,0,5,3,6,0,0,0,0,0,9.277523130549445,16,19.88780000000001,323.53300000000064,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD3,5.006077266837869,5.006077266837869,0.21471083595117846,-0.21471083595117912,0.16639078173315544,13.922077922077921,1003.2869999999997,952.8869999999993,1002.3756185999999,364,0,0.11275076390715127,-0.3092261992260906,0.3092261992260906,0.11275076390715127,0.2857142857142857,0.5844155844155844,0.948051948051948,32.140685810659576,9.801149461400346,2.377055648505372,-2.229001001353614,2.532853622072844,-2.1487192044986165,6.997227589053454,0.660445581783099,4.350344465972891,0.7058509476045529,4418.220527755336,51.31188610433716,43.13641290166946,43.952909482597185,37.68497232841162,26.71895732989356,27.449254073233785,22.253646249335382,22.78209393719104,17.424963662909395,17.95341135076505,13.55216864777064,14.125925892269342,-9.159999999999998,1.4909792633814628e+18,44.16503116664076,16.174997779507805,6.381839804166462,450.67457283142085,9.13419929558271,11.033401435232523,0.0,0.0,0.0,0.0,0.0,0.0,8.747079962832899,0.0,185.42049257876437,150.6847257052973,54.87655332941386,33.79499021566366,0.0,66.37328850875537,0.0,17.88127925841561,0.0,38.52492973755606,0.0,252.77575456832912,0.0,78.13619044973107,0.0,0.0,0.0,11.728187345198613,17.88127925841561,10.82998093879356,0.0,49.948754765550476,230.5219486015411,0.0,132.7812916132878,0.0,35.64,0.0,0.0,0.0,10.82998093879356,0.0,44.66197995138763,122.10130497388678,0.0,0.0,267.3510966958863,8.747079962832899,14.816624354722814,1.2981719821223838,0.0,5.083758069413866,28.629404571231206,0.0,85.66103493855712,0.0,9.511006083952621,0.0,0.08333333333333333,77,0,4,2,0,2,0,11,3,14,0,0,5,0,5,3,6,0,0,0,0,0,9.277523130549445,16,19.166100000000004,322.9650000000006,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD4,4.969196891718102,4.969196891718102,0.216215795639487,-0.216215795639487,0.1524544678667692,14.153846153846153,855.123,808.7549999999997,854.344318472,312,0,0.1127507639071513,-0.3104951444461412,0.3104951444461412,0.1127507639071513,0.3076923076923077,0.6,0.9384615384615385,32.12237632420228,9.805019450305197,2.3823627151677167,-2.2782137058019027,2.5542870888647258,-2.163856344868681,7.5762620951125115,0.6602613234888028,3.993995182207376,0.8789024257437635,3103.7330668195355,43.86465682607398,36.82701182491096,37.64350840583868,31.752319338034074,22.409556253135065,23.13985299647528,18.365637465579894,18.894085153435555,13.930570263733244,14.459017951588905,10.599339982061597,11.173097226560303,-7.599999999999996,1628638805707332.8,39.02634656817483,15.0068682833453,6.251335377811472,384.5754002514249,9.799819461700956,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,149.0222901679947,140.56365387543255,56.08120157028892,11.35457963349011,0.0,56.8536698309586,0.0,0.0,8.725398582164342,38.52492973755606,9.799819461700956,228.51028629448268,0.0,44.507611933575966,9.799819461700956,45.4990901974685,0.0,0.0,0.0,22.18456057228367,0.0,49.948754765550476,214.98187890985903,0.0,44.507611933575966,0.0,31.200000000000003,0.0,0.0,0.0,10.82998093879356,0.0,67.75289616425648,55.86219156706607,0.0,0.0,243.75124858815812,8.725398582164342,9.938393783436204,1.2924198298648846,4.697575469805903,0.0,23.29593323085097,0.0,74.99512521125347,0.0,9.447219141455253,0.0,0.1,65,0,4,2,1,3,0,9,0,9,0,0,4,0,5,1,8,0,0,0,0,0,9.01020373121207,12,17.299199999999978,273.3489999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD5,5.020605567433172,5.020605567433172,0.2329823904778905,-0.23298239047789115,0.1591098161453602,14.233766233766234,1003.2869999999998,952.8869999999993,1002.3756186,364,0,0.11275076390715127,-0.30862073527766815,0.30862073527766815,0.11275076390715127,0.2857142857142857,0.5584415584415584,0.8961038961038961,32.1223771085304,9.799689878161152,2.381725669149426,-2.234233825528154,2.5540537555376805,-2.149267582168232,7.576280721929496,0.660430476419696,4.358288449006215,0.7283985778215629,4397.780553863696,51.31188610433715,43.136412901669445,43.95290948259717,37.71864583322285,26.73092345818098,27.461220201521197,22.18728767013129,22.715735357986944,17.461505480477808,17.989953168333464,13.667197708241183,14.240954952739893,-9.160000000000002,1.5430134385162742e+18,44.16503116664076,16.174997779507805,6.261905626488896,450.62065485317817,9.13419929558271,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,197.55322671568752,127.42508858498007,54.62868376344072,44.79615505332227,0.0,66.34105191118147,0.0,9.13419929558271,8.725398582164342,38.52492973755606,0.0,252.7757545683291,0.0,78.13619044973107,0.0,11.374772549367124,0.0,0.0,9.13419929558271,22.18456057228367,0.0,49.948754765550476,239.24734718370544,0.0,121.74789017805527,0.0,34.58,0.0,0.0,0.0,10.82998093879356,0.0,33.62857851615511,133.1024698115454,0.0,0.0,267.3510966958863,8.725398582164342,14.916389454289373,1.2981457173464879,0.0,5.06585612421174,28.571535833553167,0.0,85.61822718542554,0.0,9.529845685173683,0.0,0.08333333333333333,77,0,4,2,1,3,0,11,2,13,0,0,4,0,5,3,6,0,0,0,0,0,9.277523130549445,16,19.88780000000001,323.53300000000064,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD6,6.1231471031353095,6.1231471031353095,0.8744929868892019,0.8744929868892019,0.253534024585668,12.685714285714285,468.5370000000002,452.4090000000002,468.0932487520001,164,0,0.13554136789597468,-0.4560436190741541,0.4560436190741541,0.13554136789597468,0.45714285714285713,0.9142857142857143,1.4285714285714286,32.122374387377526,9.950703254405578,2.1953314918347453,-2.105010819088445,2.4773830237154657,-1.8346636473467623,7.5762330526340955,0.6684355872966218,3.619913448882976,1.2811198496123486,1913.7664693815655,22.932146173572253,18.356776369425518,19.173272950353244,17.33163247594393,11.420310432425174,12.150607175765396,8.740441235377057,9.268888923232716,6.794960721913831,7.323408409769486,5.119297194085917,5.693054438584623,-4.479999999999999,463159911.29620093,18.892593323361872,7.011432552050606,2.728501027792679,202.85049395040758,8.834301874106695,33.7068531159361,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,60.6636706846161,47.52510539416365,32.671799841253176,11.35457963349011,8.834301874106695,66.60632960728539,0.0,0.0,8.725398582164342,0.0,0.0,97.06187309538579,0.0,22.253805966787983,0.0,11.374772549367124,0.0,0.0,0.0,11.35457963349011,0.0,0.0,114.62157355165682,0.0,66.13078339121614,0.0,51.0,0.0,0.0,0.0,0.0,0.0,77.50555594058325,11.35457963349011,0.0,36.39820241076966,69.38906926678044,8.834301874106695,21.601538428972454,1.2385309959868038,0.0,4.497413521839097,9.558850581755456,0.0,33.27033313811286,0.0,0.0,0.0,0.0,35,0,4,0,1,1,0,5,2,7,0,0,4,0,5,3,2,0,0,0,0,0,3.7846898234306683,8,9.545799999999993,143.41099999999977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD7,6.018143060364876,6.018143060364876,0.8887573854416388,0.8887573854416388,0.253534024585668,12.685714285714285,468.5370000000002,452.4090000000002,468.0932487520001,164,0,0.1349639663108273,-0.4560660745869811,0.4560660745869811,0.1349639663108273,0.45714285714285713,0.9142857142857143,1.4285714285714286,32.12237438737716,9.9458973006566,2.1952247166044545,-2.107298808988299,2.478331091823734,-1.835999024401002,7.576233432226704,0.6683418105021711,3.624288813533272,1.3074955858207105,1913.7664693815655,22.932146173572256,18.35677636942552,19.173272950353248,17.33163247594393,11.420310432425174,12.150607175765396,8.740441235377055,9.268888923232714,6.790863255834766,7.319310943690422,5.119648701104138,5.693405945602842,-4.479999999999999,466473493.1509821,18.892593323361872,7.011432552050606,2.728501027792679,202.8504939504076,8.834301874106695,33.7068531159361,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,60.6636706846161,47.52510539416365,32.671799841253176,11.35457963349011,8.834301874106695,66.60632960728539,0.0,0.0,8.725398582164342,0.0,0.0,97.06187309538579,0.0,22.253805966787983,0.0,11.374772549367124,0.0,0.0,0.0,11.35457963349011,0.0,0.0,114.62157355165682,0.0,66.13078339121614,0.0,51.0,0.0,0.0,0.0,0.0,0.0,77.50555594058325,11.35457963349011,0.0,48.53093654769288,48.53093654769288,17.559700456271038,21.440505218097297,1.249194767540727,0.0,4.4538162466200415,9.747025040772787,0.0,33.27612539363581,0.0,0.0,0.0,0.0,35,0,4,0,1,1,0,5,2,7,0,0,4,0,5,3,2,0,0,0,0,0,3.7846898234306683,8,9.545799999999993,143.4109999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD8,4.846526622994876,4.846526622994876,0.8776605148232132,0.8776605148232132,0.21606459124651567,11.692307692307692,526.7090000000003,496.46900000000045,526.2191179600001,192,0,0.13045545755757207,-0.3082083830789265,0.3082083830789265,0.13045545755757207,0.38461538461538464,0.6410256410256411,0.8974358974358975,32.12237462715868,10.070903216541849,2.2569976665842812,-2.297982176399995,2.5258431240388575,-2.125285138208022,7.576288338600726,1.2370209746986556,3.4447422952245463,1.540961789045886,1481.5669903052606,26.932146173572253,22.589407517876964,23.40590409880469,18.974366886035767,13.100155176376578,13.8304519197168,10.078268623850159,10.606716311705812,7.023325610673514,7.551773298529167,4.83111491767922,5.395234727353167,-4.479999999999998,1236391975.2626526,24.833900408136508,10.351337026466,4.8905532159656255,233.6288015054343,9.799819461700956,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,70.78474251448087,88.3586194833786,22.74954509873425,22.729352182857234,0.0,56.8536698309586,0.0,0.0,8.725398582164342,27.694948798762496,9.799819461700956,131.44841319909702,0.0,0.0,9.799819461700956,45.4990901974685,0.0,0.0,0.0,11.35457963349011,27.694948798762496,22.253805966787983,117.92000581447337,0.0,0.0,0.0,31.200000000000003,0.0,0.0,0.0,0.0,0.0,45.4990901974685,33.60838560027809,0.0,0.0,146.68937549277248,8.725398582164342,9.693053245989752,1.253241790543378,4.544618291761148,0.0,13.00412103690187,0.0,38.88559530642558,0.0,8.452703661711599,0.0,0.11764705882352941,39,0,4,0,1,1,0,5,0,5,0,0,4,0,5,1,6,0,0,0,0,0,6.591386482213142,6,10.58627999999999,166.29699999999957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD9,5.03982638718459,5.03982638718459,0.0647985530234434,-0.2528062796037085,0.1518360671832797,14.666666666666666,1079.5549999999996,1000.9309999999991,1078.594719496,408,0,0.1127507639071513,-0.31049445569222334,0.31049445569222334,0.1127507639071513,0.2839506172839506,0.5185185185185185,0.7901234567901234,32.122377369037864,9.804799028494111,2.3879025814899832,-2.294069888739314,2.5596127467062737,-2.170686102219626,7.576276022462964,0.589614725495165,4.309267373781836,0.8611906201106173,3652.6991868616487,57.34563077808628,50.517610748152435,51.33410732908016,38.1730062001242,29.052290663226888,29.782587406567103,28.21093692720066,28.739384615056313,17.83911632331543,18.36756401117109,12.733084098678358,13.30684134317707,-7.599999999999996,8.01630683704317e+17,54.01175624985962,18.993694229625227,9.397985393843458,486.4144740817706,9.799819461700956,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,207.84166829043576,184.4774217198076,56.08120157028892,11.35457963349011,0.0,56.8536698309586,0.0,0.0,8.725398582164342,143.2697380114307,9.799819461700956,226.49862398742425,0.0,44.507611933575966,9.799819461700956,45.4990901974685,0.0,0.0,0.0,43.84452244987078,0.0,155.28740712862597,190.71641063601263,0.0,44.507611933575966,0.0,31.200000000000003,0.0,0.0,0.0,32.489942816380676,0.0,67.75289616425648,78.11599753385406,0.0,0.0,302.57062671059913,8.725398582164342,10.07965277436918,1.2995291414544434,4.841356951287384,0.0,28.81589745572231,0.0,69.41113680807402,0.0,36.88576020242599,0.0,0.2894736842105263,81,0,4,2,1,3,0,9,0,9,0,0,4,0,5,1,8,0,0,0,0,0,12.665219543393617,12,22.48920000000003,348.149000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTD10,4.7709437966763275,4.7709437966763275,0.918980596090084,0.918980596090084,0.16879473974783735,11.48936170212766,622.7970000000001,592.5570000000002,622.21911796,224,0,0.11275060353610043,-0.3105059436401153,0.3105059436401153,0.11275060353610043,0.2978723404255319,0.574468085106383,0.8723404255319149,32.12237514078673,9.955903959262859,2.1962229261447126,-2.25427960229232,2.4763686063869623,-2.090113151342426,7.576240145033267,1.2823530178394977,3.646667498781323,1.1153470755878485,1959.7618519892435,31.417427547810814,25.517610748152475,26.3341073290802,23.33163247594393,15.600155176376576,16.330451919716797,11.228886119631778,11.757333807487434,8.346019950240548,8.874467638096203,6.115229351248687,6.6889865957473935,-6.039999999999997,174554222145.31384,28.43495584658052,12.754659535639878,5.649099227448192,278.2832214599759,9.799819461700956,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,8.725398582164342,0.0,109.19460723230902,83.92330780493333,45.251220631495364,11.35457963349011,0.0,56.85366983095861,0.0,0.0,8.725398582164342,0.0,9.799819461700956,181.9910120538483,0.0,22.253805966787983,9.799819461700956,45.4990901974685,0.0,0.0,0.0,11.35457963349011,0.0,0.0,190.71641063601265,0.0,22.253805966787983,0.0,31.2,0.0,0.0,0.0,0.0,0.0,67.75289616425648,11.35457963349011,0.0,24.26546827384644,167.52536324170282,8.725398582164342,9.541887593352655,1.2592828671561742,4.5421489807845115,0.0,12.846212160109038,0.0,63.643801731930935,0.0,0.0,0.0,0.0,47,0,4,0,1,1,0,7,0,7,0,0,4,0,5,1,8,0,0,0,0,0,7.7165570368954715,8,12.686599999999983,198.22099999999955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
