Material,pred_PL
test1,558.7558
test2,697.46466
test3,644.6755
test4,619.3156
test5,565.5705
test8,431.24506
test9,766.5726
test10,495.1608
test12,441.04922
test13,617.74194
test15,486.211
test18,529.702
test19,567.19135
test20,547.9191
test22,501.03323
test24,729.3663
test25,438.01556
test26,452.6946
test31,766.5726
test32,492.03537
test33,534.5755
test34,557.1756
test35,766.5726
test36,433.71402
test37,439.3711
test38,456.84384
test40,444.64236
test41,530.0617
test42,529.702
test43,634.4405
test44,487.96747
test46,518.69617
test47,643.61554
test49,425.16318
test50,454.75845
test51,510.4667
test53,454.75845
test54,443.71005
test55,549.47253
test56,753.05237
test57,486.211
test58,461.75232
test60,501.29205
test61,455.2643
test62,464.32602
test63,443.71005
test64,462.30228
test65,588.3046
test67,486.211
test69,496.87952
test70,589.2664
test71,567.19135
test72,443.6881
test73,469.06586
test75,486.211
test78,465.38275
test79,491.50467
test81,441.46896
test85,437.77966
test86,473.19287
test87,445.83325
test89,570.175
test90,517.53357
test91,578.4001
test92,454.38098
test93,521.0431
test95,440.31015
test97,462.0657
test98,435.64072
test99,475.83865
test100,441.04922
test101,496.16083
test102,444.72842
test103,452.33792
test104,469.06586
test105,625.3959
test107,454.38098
test110,482.01022
test113,617.0002
test115,448.60773
test116,437.77966
test117,463.24484
test119,474.0788
test120,486.211
test123,469.06586
test124,512.3927
test125,454.3085
test126,472.88705
test128,474.0788
test129,766.5726
test130,496.16083
test131,443.6881
test132,444.09238
test134,489.2819
test135,456.4064
test136,566.5108
test137,454.38098
test140,530.8826
test143,464.32602
test145,578.48224
test147,791.0699
test148,594.6952
test149,447.687
test152,568.88
test154,465.38275
test158,453.477
test159,497.1408
test160,445.83325
test162,444.72842
test163,564.54626
test166,481.46658
test167,438.47592
test168,486.4456
test169,443.6881
test170,464.32602
test171,753.05237
test172,486.211
test173,534.6219
test174,450.88824
test175,443.71005
test178,612.71326
test180,461.83072
test181,459.41882
test183,415.9079
test184,488.14343
test185,435.72507
test186,647.5725
test187,447.81616
test188,478.32364
test189,409.65622
test190,450.88824
test191,451.00497
test192,567.97614
test193,579.80176
