Material,pred_PL
test1,548.1330211951379
test2,661.3831855962962
test3,595.5759547969635
test4,625.9149366103719
test5,573.1690631758928
test6,454.7632031906899
test7,477.6371875804528
test8,438.0849631564139
test9,763.0421183531583
test10,516.7289618211738
test11,527.2950331409317
test12,455.3126596139891
test13,574.3550816296942
test14,521.4557632642717
test15,458.6577676304654
test16,449.16156110704287
test17,620.52949586847
test18,506.98132727942436
test19,543.867713723021
test20,547.7353302684758
test21,636.7352394456699
test22,529.7088319772339
test23,744.9267584051348
test24,761.0060458169683
test25,464.09344444385187
test26,436.9262963492155
test27,633.4992462725371
test28,765.6328488458669
test29,538.8748522208
test30,568.546241289562
test31,763.0421183531583
test32,467.0963566001035
test33,548.8411524094331
test34,532.6132684347291
test35,763.0421183531583
test36,451.8873486329394
test37,449.7257473500396
test38,440.1124728830529
test39,439.0414204321902
test40,467.57119428724377
test41,537.5722795820425
test42,506.98132727942436
test43,634.7593815824852
test44,470.74095011026645
test45,532.4474622803531
test46,542.6172778303138
test47,649.1767695613643
test48,671.837656184905
test49,450.1312784083616
test50,452.27612082508114
test51,498.8403067250672
test52,522.0625586815263
test53,452.27612082508114
test54,450.38695419469207
test55,542.5592881939108
test56,678.5065738294752
test57,458.6577676304654
test58,433.6951654656042
test59,553.235564537784
test60,518.4386636403465
test61,439.48134160611005
test62,458.9225287173355
test63,450.38695419469207
test64,472.22787690973337
test65,576.1553212656188
test66,454.4544890574209
test67,458.6577676304654
test68,552.8293988933112
test69,495.25042677514773
test70,555.3520889446966
test71,543.867713723021
test72,447.45922604186126
test73,469.2067683201169
test74,610.855961410768
test75,458.6577676304654
test76,671.837656184905
test77,525.6932156122581
test78,463.2284677883421
test79,487.32036784557215
test80,547.5906147298055
test81,454.1350682585732
test82,439.5976975546354
test83,671.837656184905
test84,544.4012151887032
test85,437.6225199503678
test86,458.040276707296
test87,437.31080363467584
test88,461.8058796417515
test89,542.6168902371522
test90,509.6243294351471
test91,543.7778836244572
test92,464.6258059347083
test93,559.5912793346623
test94,438.4830407161195
test95,457.8461253328623
test96,478.41239733435816
test97,440.65695390788875
test98,460.32557123777985
test99,474.6541048169556
test100,455.3126596139891
test101,520.0078493488201
test102,444.01969850341516
test103,455.5327095130607
test104,469.2067683201169
test105,636.1313817410035
test106,553.235564537784
test107,464.6258059347083
test108,542.4991217728901
test109,539.9094235421202
test110,485.7666221805478
test111,645.353791377336
test112,450.5524159427351
