Material,pred_PL
test1,572.2416654600046
test2,650.2556235447238
test3,606.1307863960978
test4,643.0723870772314
test5,599.2749031757683
test6,484.55492139220496
test7,497.19026980964725
test8,464.94951924917336
test9,675.2722832946881
test10,515.0764746723223
test11,523.6477352200535
test12,468.64139934460025
test13,570.2594962227315
test14,542.4163726988121
test15,475.84478364132366
test16,480.4325898214305
test17,606.7785243687492
test18,516.4404556356113
test19,564.346386504691
test20,550.766616735821
test21,631.9348852768403
test22,510.5839137794154
test23,659.8928443592803
test24,652.9885016655778
test25,459.4582703372497
test26,469.74246352135646
test27,613.8222696149166
test28,689.1314084160105
test29,558.0471484013872
test30,588.0498415527827
test31,675.2722832946881
test32,482.5778938669942
test33,533.8532391451942
test34,560.7363725823068
test35,675.2722832946881
test36,469.3715823168245
test37,460.30840976913646
test38,469.1712209423281
test39,446.87041027343787
test40,472.6001862004458
test41,547.4233912697581
test42,516.4404556356113
test43,606.7686234565127
test44,475.7670465155758
test45,515.640891679127
test46,534.4885163215613
test47,580.0449084268289
test48,621.6630860424979
test49,454.52952951828394
test50,470.0192040850345
test51,523.9054028919945
test52,546.0113386549374
test53,470.0192040850345
test54,467.8782913165269
test55,536.310213376909
test56,657.4903513217528
test57,475.84478364132366
test58,470.5953469028731
test59,580.9277536029266
test60,516.006198456804
test61,471.85912977193243
test62,480.63046031246745
test63,467.8782913165269
test64,477.9339255291678
test65,577.9923754350225
test66,458.4350861716781
test67,475.84478364132366
test68,570.7890339379959
test69,510.47011089640836
test70,568.2596898231845
test71,564.346386504691
test72,465.73460203451566
test73,488.3268969976583
test74,604.3970400994623
test75,475.84478364132366
test76,621.6630860424979
test77,597.8250444384528
test78,486.7572254510836
test79,479.7072436918458
test80,553.3339954579574
test81,461.6251687406534
test82,439.2601173784565
test83,621.6630860424979
test84,517.2108017479125
test85,443.0315674457544
test86,491.03721013063574
test87,467.79007428877674
test88,472.9660582177019
test89,556.6759122365524
test90,535.4625928921777
test91,570.1994654070778
test92,468.5064401637069
test93,539.8816548055303
test94,442.06898301621504
test95,466.1888043137179
test96,486.4144855208871
test97,468.2442136807189
test98,468.7814655452201
test99,478.15780793600885
test100,468.64139934460025
test101,507.9990534776001
test102,464.6903266892024
test103,475.3978004214165
test104,488.3268969976583
test105,606.1029602558149
test106,580.9277536029266
test107,468.5064401637069
test108,550.1057323523587
test109,520.3893878228654
test110,484.6395552160258
test111,611.2181706605581
test112,447.3791721126497
test113,580.4185604988373
test114,472.39959938818083
test115,471.9621106018167
test116,443.0315674457544
test117,482.534281977794
test118,449.83520517352724
test119,477.0167506337059
test120,475.84478364132366
test121,618.5353597767092
test122,546.0113386549374
test123,488.3268969976583
test124,486.0337731824756
test125,487.752247928286
test126,509.4453169027563
test127,482.05869658023664
test128,477.0167506337059
test129,675.2722832946881
test130,507.9990534776001
test131,465.73460203451566
test132,488.61886264446827
test133,459.235061523124
test134,488.7571800556232
test135,477.36912950563476
test136,564.08367436101
test137,468.5064401637069
test138,557.4979111846759
test139,588.0498415527827
test140,544.5910310309964
test141,593.1598745257049
test142,497.9495139232164
test143,480.63046031246745
test144,459.235061523124
test145,567.0803928546143
test146,617.1673292905991
test147,697.1838421286517
test148,559.4716868387284
test149,478.03857024687494
test150,456.0116014480202
test151,507.7996864342885
test152,570.3559524225614
test153,604.3970400994623
test154,486.7572254510836
test155,542.6932297101847
test156,617.1673292905991
test157,631.9348852768403
test158,495.5712669011112
test159,493.2154021039836
test160,467.79007428877674
test161,531.6600690127508
test162,464.6903266892024
test163,558.1525227367788
test164,439.2601173784565
test165,491.3731129885111
test166,493.89939338183285
test167,475.0396642317059
test168,494.8878732538768
test169,465.73460203451566
test170,480.63046031246745
test171,657.4903513217528
test172,475.84478364132366
test173,545.5608805138218
test174,472.16816188745287
test175,467.8782913165269
test176,604.3970400994623
test177,565.781364268821
test178,579.4062420214669
