Material,pred_PL
test1,572.2416654600046
test2,650.2556235447238
test3,606.1307863960978
test4,643.0723870772314
test5,599.2749031757683
test8,464.94951924917336
test9,675.2722832946881
test10,515.0764746723223
test12,468.64139934460025
test13,570.2594962227315
test15,475.84478364132366
test18,516.4404556356113
test19,564.346386504691
test20,550.766616735821
test22,510.5839137794154
test24,652.9885016655778
test25,459.4582703372497
test26,469.74246352135646
test31,675.2722832946881
test32,482.5778938669942
test33,533.8532391451942
test34,560.7363725823068
test35,675.2722832946881
test36,469.3715823168245
test37,460.30840976913646
test38,469.1712209423281
test40,472.6001862004458
test41,547.4233912697581
test42,516.4404556356113
test43,606.7686234565127
test44,475.7670465155758
test46,534.4885163215613
test47,580.0449084268289
test49,454.52952951828394
test50,470.0192040850345
test51,523.9054028919945
test53,470.0192040850345
test54,467.8782913165269
test55,536.310213376909
test56,657.4903513217528
test57,475.84478364132366
test58,470.5953469028731
test60,516.006198456804
test61,471.85912977193243
test62,480.63046031246745
test63,467.8782913165269
test64,477.9339255291678
test65,577.9923754350225
test67,475.84478364132366
test69,510.47011089640836
test70,568.2596898231845
test71,564.346386504691
test72,465.73460203451566
test73,488.3268969976583
test75,475.84478364132366
test78,486.7572254510836
test79,479.7072436918458
test81,461.6251687406534
test85,443.0315674457544
test86,491.03721013063574
test87,467.79007428877674
test89,556.6759122365524
test90,535.4625928921777
test91,570.1994654070778
test92,468.5064401637069
test93,539.8816548055303
test95,466.1888043137179
test97,468.2442136807189
test98,468.7814655452201
test99,478.15780793600885
test100,468.64139934460025
test101,507.9990534776001
test102,464.6903266892024
test103,475.3978004214165
test104,488.3268969976583
test105,606.1029602558149
test107,468.5064401637069
test110,484.6395552160258
test113,580.4185604988373
test115,471.9621106018167
test116,443.0315674457544
test117,482.534281977794
test119,477.0167506337059
test120,475.84478364132366
test123,488.3268969976583
test124,486.0337731824756
test125,487.752247928286
test126,509.4453169027563
test128,477.0167506337059
test129,675.2722832946881
test130,507.9990534776001
test131,465.73460203451566
test132,488.61886264446827
test134,488.7571800556232
test135,477.36912950563476
test136,564.08367436101
test137,468.5064401637069
test140,544.5910310309964
test143,480.63046031246745
test145,567.0803928546143
test147,697.1838421286517
test148,559.4716868387284
test149,478.03857024687494
test152,570.3559524225614
test154,486.7572254510836
test158,495.5712669011112
test159,493.2154021039836
test160,467.79007428877674
test162,464.6903266892024
test163,558.1525227367788
test166,493.89939338183285
test167,475.0396642317059
test168,494.8878732538768
test169,465.73460203451566
test170,480.63046031246745
test171,657.4903513217528
test172,475.84478364132366
test173,545.5608805138218
test174,472.16816188745287
test175,467.8782913165269
test178,579.4062420214669
test180,473.9015984528097
test181,471.40021516033613
test183,440.6924180586811
test184,517.68222386994
test185,462.01742353507063
test186,605.0404755407351
test187,473.35915329704267
test188,497.48715271016295
test189,438.47412621019873
test190,472.16816188745287
test191,460.3006154392832
test192,570.0544612378523
test193,564.1730115872849
test194,568.4445630302031
test195,481.9552769830454
test197,480.63046031246745
test198,500.9264065935345
test199,488.7571800556232
test200,456.1408326551061
test201,566.4131411328643
test202,488.3268969976583
test204,488.61886264446827
test206,509.4453169027563
test209,473.65783947565944
test211,467.79007428877674
test212,467.8782913165269
test214,471.9621106018167
test215,468.5064401637069
test218,569.981540982406
test219,561.6047965586893
test220,560.075980107295
test221,502.9294540394885
test222,580.3985617803957
test224,460.3006154392832
test225,460.3006154392832
test226,652.9885016655778
test227,470.42549781053265
test229,560.075980107295
test230,488.7571800556232
test231,488.3268969976583
test233,593.426391739108
test235,528.236504732612
test237,462.01742353507063
test238,477.36912950563476
test239,485.05569723433064
test240,592.9601386886854
test241,734.1525681098346
test242,652.9885016655778
test244,468.5064401637069
test245,495.5712669011112
test246,547.4233912697581
test248,468.5064401637069
test249,559.8896147009468
test250,517.68222386994
test252,474.7708064907027
test253,734.1525681098346
test254,559.44281286764
test255,519.5532207059889
