Material,pred_PL
test1,562.6309
test2,696.80133
test3,594.13824
test4,654.8028
test5,586.7802
test6,484.79288
test7,505.66885
test8,451.03888
test9,732.0205
test10,510.64673
test11,537.4156
test12,455.4673
test13,567.67914
test14,525.39874
test15,461.58826
test16,459.86136
test17,626.2642
test18,503.59286
test19,550.10516
test20,528.7039
test21,671.0869
test22,499.71964
test23,721.06537
test24,723.6937
test25,436.05814
test26,444.53137
test27,654.08594
test28,744.0
test29,547.85986
test30,603.6461
test31,732.0205
test32,461.542
test33,509.51962
test34,558.4545
test35,732.0205
test36,453.82748
test37,433.80298
test38,449.25507
test39,459.34216
test40,450.89746
test41,552.31323
test42,503.59286
test43,627.09174
test44,458.1066
test45,530.6995
test46,504.37405
test47,606.219
test48,670.73126
test49,445.69162
test50,443.38687
test51,508.85913
test52,529.30817
test53,443.38687
test54,462.55435
test55,530.1439
test56,674.26086
test57,461.58826
test58,456.84982
test59,594.3042
test60,505.82968
test61,443.7418
test62,472.59412
test63,462.55435
test64,462.35004
test65,549.2587
test66,457.9318
test67,461.58826
test68,564.29236
test69,507.34344
test70,553.33185
test71,550.10516
test72,452.7197
test73,474.14835
test74,644.6372
test75,461.58826
test76,670.73126
test77,549.593
test78,459.26196
test79,466.18997
test80,572.1586
test81,448.6754
test82,431.24927
test83,670.73126
test84,519.302
test85,458.79572
test86,466.6129
test87,440.06958
test88,497.18616
test89,551.14716
test90,508.92786
test91,544.7908
test92,458.2269
test93,547.7019
test94,445.35724
test95,456.82306
test96,481.99338
test97,447.8266
test98,467.8803
test99,472.2369
test100,455.4673
test101,507.72614
test102,442.94794
test103,459.7087
test104,474.14835
test105,624.441
test106,594.3042
test107,458.2269
test108,545.6429
test109,516.5777
test110,491.92102
test111,662.23724
test112,460.30862
test113,603.094
test114,501.71558
test115,449.88266
test116,458.79572
test117,443.00018
test118,444.99792
test119,455.44223
test120,461.58826
test121,634.5012
test122,529.30817
test123,474.14835
test124,471.94086
test125,447.06573
test126,479.55362
test127,465.3692
test128,455.44223
test129,732.0205
test130,507.72614
test131,452.7197
test132,460.73016
test133,449.72156
test134,481.93655
test135,449.42807
test136,549.70905
test137,458.2269
test138,541.4495
test139,603.6461
test140,513.45526
test141,600.74963
test142,459.42435
test143,472.59412
test144,449.72156
test145,546.1775
test146,658.2738
test147,766.4979
test148,577.9722
test149,462.65854
test150,462.0913
test151,513.4988
test152,556.15765
test153,644.6372
test154,459.26196
test155,527.7772
test156,658.2738
test157,671.0869
test158,458.91617
test159,470.67334
test160,440.06958
test161,508.96503
test162,442.94794
test163,607.5659
test164,431.24927
test165,491.92133
test166,475.03284
test167,473.62738
test168,476.5784
test169,452.7197
test170,472.59412
test171,674.26086
test172,461.58826
test173,525.5565
test174,467.13342
test175,462.55435
test176,644.6372
test177,531.9312
test178,577.01227
test179,644.6372
test180,457.79095
test181,444.47183
test182,534.7541
test183,448.69748
test184,486.6446
test185,432.5028
test186,586.741
test187,471.17438
test188,452.90393
test189,451.13266
test190,467.13342
test191,433.43546
test192,556.26196
test193,554.9493
test194,568.34973
test195,459.7727
test196,680.4853
test197,472.59412
test198,470.8649
test199,481.93655
test200,426.27982
test201,567.5603
test202,474.14835
test203,574.0698
test204,460.73016
test205,670.73126
test206,479.55362
test207,458.72754
test208,570.2897
test209,449.6325
test210,671.0869
test211,440.06958
test212,462.55435
test213,726.7112
test214,449.88266
test215,458.2269
test216,626.2642
test217,725.62585
test218,542.80426
test219,558.7521
test220,550.3193
test221,526.3562
test222,603.0972
test223,654.08594
test224,433.43546
test225,433.43546
test226,723.6937
test227,447.77118
test228,671.0869
test229,550.3193
test230,481.93655
test231,474.14835
test232,464.77496
test233,596.5686
test234,545.4536
test235,519.4716
test236,457.11902
test237,432.5028
test238,449.42807
test239,480.68066
test240,634.896
test241,763.04175
test242,723.6937
test243,744.0
test244,458.2269
test245,458.91617
test246,552.31323
test247,665.83905
test248,458.2269
test249,543.96204
test250,486.6446
test251,658.2738
test252,462.0454
test253,763.04175
test254,541.1579
test255,512.812
test256,442.6683
test257,594.3042
test258,586.0451
test259,429.92096
test260,670.73126
test261,451.77176
test262,485.9425
test263,473.67065
test264,513.4988
test265,458.2269
test266,470.67334
test267,442.94794
test268,473.40704
test269,455.44223
test270,553.07153
test271,523.27045
test272,728.8408
test273,514.77454
test274,481.99338
test275,654.08594
test276,467.00055
test277,446.0516
test278,472.59412
test279,454.74493
test280,723.0239
test281,463.4239
test282,462.55435
test283,457.11902
test284,519.4716
test285,472.59412
test286,542.6298
test287,478.6586
test288,446.0516
test289,442.94794
test290,440.06958
test291,566.6739
test292,519.292
test293,537.7559
test294,448.6754
test295,519.302
test296,553.39514
test297,550.92914
test298,655.4829
test299,447.06573
test300,473.67065
test301,552.31323
test302,432.6794
test303,458.2269
test304,527.3253
test305,478.4622
test306,551.73773
test307,470.316
test308,530.1052
test309,571.7387
test310,508.96503
test311,546.1046
test312,551.52045
test313,480.68066
test314,461.0291
test315,447.8415
test316,474.14835
test317,732.0205
test318,449.72156
test319,473.66083
test320,644.6372
test321,562.6791
test322,569.4893
test323,626.2642
test324,461.542
test325,456.82306
test326,471.94086
test327,442.94794
test328,455.8408
test329,545.6429
test330,756.2437
test331,440.06958
test332,474.14835
test333,451.13266
test334,440.06958
test335,457.9318
test336,426.27982
test337,542.80426
test338,450.89746
test339,514.50476
test340,489.8335
test341,658.2738
test342,477.50244
test343,449.42807
test344,671.0869
test345,448.6754
test346,531.26904
test347,449.779
test348,670.73126
test349,462.76465
test350,497.18616
test351,538.0762
test352,473.0778
test353,654.08594
test354,471.17438
test355,554.5527
test356,607.5659
test357,574.8943
test358,462.55435
test359,744.0
test360,680.26886
test361,577.9722
test362,440.06958
test363,537.7559
test364,458.2269
test365,559.26935
test366,462.65854
test367,439.6009
test368,728.8408
test369,440.06958
test370,458.91617
test371,456.82306
test372,449.779
test373,461.58826
test374,536.0172
test375,756.2437
test376,461.58826
test377,524.497
test378,654.08594
test379,455.6723
test380,725.62585
test381,466.3645
test382,456.06177
test383,540.2345
test384,470.67334
test385,467.2241
test386,795.2072
test387,462.55435
test388,530.1052
test389,456.84982
test390,493.67233
test391,458.01013
test392,673.36255
test393,498.20145
test394,457.87128
test395,549.70905
test396,603.6461
test397,467.00055
test398,472.59412
test399,453.82748
test400,471.94086
test401,555.988
test402,732.0205
test403,461.74188
test404,467.2241
test405,660.6114
test406,545.9221
test407,574.8943
test408,456.6267
test409,458.72754
test410,658.0396
test411,555.52936
test412,449.779
test413,453.82748
test414,503.59286
test415,618.13055
test416,508.63724
test417,452.5189
test418,448.37067
test419,673.36255
test420,472.59412
test421,474.14835
test422,471.94086
test423,446.86304
test424,462.55435
test425,561.8269
test426,706.0796
test427,459.42435
test428,499.71964
test429,613.65326
test430,658.2738
test431,443.00018
test432,462.55435
test433,431.1734
test434,725.62585
test435,590.1642
test436,732.0205
test437,477.50244
test438,491.92133
test439,481.549
test440,524.3229
test441,487.3761
test442,443.00018
test443,594.3042
test444,539.3895
test445,470.0169
test446,533.1558
test447,458.2269
test448,459.0987
test449,455.4673
test450,462.55435
test451,530.1052
test452,471.94037
test453,446.86304
test454,530.6995
test455,474.14835
test456,715.0728
test457,774.2209
test458,441.9799
test459,473.66083
test460,680.4853
test461,676.64734
test462,727.5317
test463,552.07196
test464,440.06958
test465,594.3042
test466,496.80945
test467,725.62585
test468,471.94086
test469,532.5639
test470,725.62585
test471,574.26117
test472,732.0205
test473,654.08594
test474,508.63724
test475,448.72696
test476,478.37506
test477,448.6754
test478,449.42807
test479,486.6446
test480,549.00745
test481,447.77118
test482,522.8468
test483,568.92114
