Material,pred_PL
test1,562.6309
test2,696.80133
test3,594.13824
test4,654.8028
test5,586.7802
test8,451.03888
test9,732.0205
test10,510.64673
test12,455.4673
test13,567.67914
test15,461.58826
test18,503.59286
test19,550.10516
test20,528.7039
test22,499.71964
test24,723.6937
test25,436.05814
test26,444.53137
test31,732.0205
test32,461.542
test33,509.51962
test34,558.4545
test35,732.0205
test36,453.82748
test37,433.80298
test38,449.25507
test40,450.89746
test41,552.31323
test42,503.59286
test43,627.09174
test44,458.1066
test46,504.37405
test47,606.219
test49,445.69162
test50,443.38687
test51,508.85913
test53,443.38687
test54,462.55435
test55,530.1439
test56,674.26086
test57,461.58826
test58,456.84982
test60,505.82968
test61,443.7418
test62,472.59412
test63,462.55435
test64,462.35004
test65,549.2587
test67,461.58826
test69,507.34344
test70,553.33185
test71,550.10516
test72,452.7197
test73,474.14835
test75,461.58826
test78,459.26196
test79,466.18997
test81,448.6754
test85,458.79572
test86,466.6129
test87,440.06958
test89,551.14716
test90,508.92786
test91,544.7908
test92,458.2269
test93,547.7019
test95,456.82306
test97,447.8266
test98,467.8803
test99,472.2369
test100,455.4673
test101,507.72614
test102,442.94794
test103,459.7087
test104,474.14835
test105,624.441
test107,458.2269
test110,491.92102
test113,603.094
test115,449.88266
test116,458.79572
test117,443.00018
test119,455.44223
test120,461.58826
test123,474.14835
test124,471.94086
test125,447.06573
test126,479.55362
test128,455.44223
test129,732.0205
test130,507.72614
test131,452.7197
test132,460.73016
test134,481.93655
test135,449.42807
test136,549.70905
test137,458.2269
test140,513.45526
test143,472.59412
test145,546.1775
test147,766.4979
test148,577.9722
test149,462.65854
test152,556.15765
test154,459.26196
test158,458.91617
test159,470.67334
test160,440.06958
test162,442.94794
test163,607.5659
test166,475.03284
test167,473.62738
test168,476.5784
test169,452.7197
test170,472.59412
test171,674.26086
test172,461.58826
test173,525.5565
test174,467.13342
test175,462.55435
test178,577.01227
test180,457.79095
test181,444.47183
test183,448.69748
test184,486.6446
test185,432.5028
test186,586.741
test187,471.17438
test188,452.90393
test189,451.13266
test190,467.13342
test191,433.43546
test192,556.26196
test193,554.9493
test194,568.34973
test195,459.7727
test197,472.59412
test198,470.8649
test199,481.93655
test200,426.27982
test201,567.5603
test202,474.14835
test204,460.73016
test206,479.55362
test209,449.6325
test211,440.06958
test212,462.55435
test214,449.88266
test215,458.2269
test218,542.80426
test219,558.7521
test220,550.3193
test221,526.3562
test222,603.0972
test224,433.43546
test225,433.43546
test226,723.6937
test227,447.77118
test229,550.3193
test230,481.93655
test231,474.14835
test233,596.5686
test235,519.4716
test237,432.5028
test238,449.42807
test239,480.68066
test240,634.896
test241,763.04175
test242,723.6937
test244,458.2269
test245,458.91617
test246,552.31323
test248,458.2269
test249,543.96204
test250,486.6446
test252,462.0454
test253,763.04175
test254,541.1579
test255,512.812
test256,442.6683
test258,586.0451
test259,429.92096
test261,451.77176
test262,485.9425
test263,473.67065
test265,458.2269
test266,470.67334
test267,442.94794
test268,473.40704
test269,455.44223
test270,553.07153
test271,523.27045
test272,728.8408
test273,514.77454
test277,446.0516
test278,472.59412
test279,454.74493
test281,463.4239
test282,462.55435
test284,519.4716
test285,472.59412
test287,478.6586
test288,446.0516
test289,442.94794
test290,440.06958
test291,566.6739
test293,537.7559
test294,448.6754
test296,553.39514
test297,550.92914
test298,655.4829
test299,447.06573
test300,473.67065
test301,552.31323
test303,458.2269
test305,478.4622
test306,551.73773
test307,470.316
test308,530.1052
test311,546.1046
test312,551.52045
test313,480.68066
test314,461.0291
test315,447.8415
test316,474.14835
test317,732.0205
test321,562.6791
test322,569.4893
test324,461.542
test325,456.82306
test326,471.94086
test327,442.94794
test328,455.8408
test330,756.2437
test331,440.06958
test332,474.14835
test333,451.13266
test334,440.06958
test336,426.27982
test337,542.80426
test338,450.89746
test340,489.8335
test342,477.50244
test343,449.42807
test345,448.6754
test346,531.26904
test347,449.779
test349,462.76465
test351,538.0762
test354,471.17438
test355,554.5527
test356,607.5659
test358,462.55435
test361,577.9722
test362,440.06958
test363,537.7559
test364,458.2269
test365,559.26935
test366,462.65854
test367,439.6009
test368,728.8408
test369,440.06958
test370,458.91617
test371,456.82306
test372,449.779
test373,461.58826
test374,536.0172
test375,756.2437
test376,461.58826
test377,524.497
test379,455.6723
test382,456.06177
test384,470.67334
test385,467.2241
test386,795.2072
test387,462.55435
test388,530.1052
test389,456.84982
test390,493.67233
test392,673.36255
test394,457.87128
test395,549.70905
test398,472.59412
test399,453.82748
test400,471.94086
test401,555.988
test402,732.0205
test404,467.2241
test405,660.6114
test406,545.9221
test408,456.6267
test410,658.0396
test411,555.52936
test412,449.779
test413,453.82748
test414,503.59286
test416,508.63724
test417,452.5189
test418,448.37067
test419,673.36255
test420,472.59412
test421,474.14835
test422,471.94086
test423,446.86304
test424,462.55435
test425,561.8269
test426,706.0796
test428,499.71964
test431,443.00018
test432,462.55435
test433,431.1734
test435,590.1642
test436,732.0205
test437,477.50244
test439,481.549
test442,443.00018
test444,539.3895
test445,470.0169
test446,533.1558
test447,458.2269
test449,455.4673
test450,462.55435
test451,530.1052
test452,471.94037
test453,446.86304
test455,474.14835
test456,715.0728
test457,774.2209
test458,441.9799
test463,552.07196
test464,440.06958
test466,496.80945
test468,471.94086
test471,574.26117
test472,732.0205
test474,508.63724
test475,448.72696
test476,478.37506
test477,448.6754
test478,449.42807
test479,486.6446
test480,549.00745
test481,447.77118
test482,522.8468
test483,568.92114
test486,442.94794
test488,433.54745
test490,452.90393
test491,573.7176
test493,449.779
test494,431.1734
test495,480.817
test496,447.10095
test498,451.3872
test500,442.94794
test503,449.88266
test506,664.6999
test507,582.8926
test509,451.17642
test510,472.59412
test511,673.36255
test512,509.1859
test515,781.92694
test516,534.00146
test517,626.7403
test518,626.7403
test519,535.11176
test521,462.0454
test522,551.73773
test523,462.55435
test525,449.88266
test526,507.72614
test527,723.6937
test530,428.45856
test531,658.0396
test533,442.1636
test535,451.3872
test536,472.59412
test541,451.17642
test542,538.0762
test544,447.06573
test546,452.09628
test547,457.9947
test548,461.58826
test549,445.76285
test550,584.37177
test551,473.67065
test552,499.71964
test554,572.64343
test555,458.2269
test556,539.36255
test558,552.31323
test559,478.4622
test561,541.1579
test562,456.06177
test563,467.2241
test564,673.36255
test566,574.26117
test568,673.36255
test569,563.6047
test570,462.55435
test573,554.6755
test574,451.3872
test577,508.63724
test578,537.0767
test579,449.42807
test580,460.73016
test581,455.44223
test583,557.5953
test584,538.0762
test585,519.40326
test586,442.57123
test589,480.4384
test590,673.36255
test591,543.37775
test593,451.13266
test594,475.03284
test595,448.37067
test596,455.44223
test597,542.88416
test598,556.4641
test599,471.17438
test600,455.6723
test601,601.6186
test602,451.03888
test603,446.86304
test608,433.54745
test609,473.40704
test610,471.94086
test611,547.7019
test612,463.4239
test613,466.18997
test614,626.41925
test615,774.2209
test616,706.0796
test617,456.6267
test618,463.72156
test619,496.28607
test620,469.3445
test621,478.4622
test622,472.59412
test624,461.58826
test625,544.89813
test627,519.50494
test628,517.72534
test630,449.6325
test631,440.06958
test632,480.68066
test633,455.44223
test636,466.89313
test639,503.59286
test642,449.6325
test643,535.11176
test644,531.26904
test646,732.0205
test647,467.13342
test648,445.76285
test649,450.30432
test650,530.1439
test651,471.02072
test652,481.93655
test655,541.6651
test656,538.0762
test657,586.9745
test658,465.13892
test659,449.42807
test660,470.8649
test662,448.72784
test665,520.9226
test666,596.5686
test667,456.82306
test668,570.52795
test670,440.06958
test671,442.94794
test673,507.72614
test675,494.45917
test676,484.48953
test677,519.4716
test679,462.55435
test681,447.77118
test682,522.00616
test683,446.0516
